sample_names,mean,median,sd,quantile0.025,quantile0.975
2208073077,3,3,0.48223,2,3
2301064559,3,3,0.45526,2,3
1810003125,3,3,0.50005,2,3
1709024473,3,3,0.49999,3,4
1706067806,3,3,0.17873,3,4
1801101179,3,3,0.18886,2,3
2301113020,3,3,0.42669,3,4
2212047530,3,3,0.1948,2,3
1706064387,3,3,0.49413,2,3
1809050512,3,3,0.22214,3,4
1608008365,3,3,0.07747,3,3
1707017149,3,3,0.51592,3,4
1912017824,3,2,0.98947,1,5
1609022135,4,4,0.47361,4,5
1701059509,4,4,0.2933,3,5
1809058087,4,4,0.33969,3,4
1810021770,4,4,0.36971,4,5
1808058269,4,4,0.50572,3,4
1708025263,4,4,0.42606,3,4
1808075221,4,4,0.50705,3,4
1608026589,4,4,0.29119,3.975,5
1802057598,4,4,0.49114,3,4
1603054031,4,3,3.08066,1,12
1901027340,4,3,2.57251,1,10
1809031340,5,5,0.42154,4,6
1808058198,5,5,0.5029,5,6
2202087425,5,5,0.45407,4,6
1810007973,5,5,0.48622,4,5
1701035300,5,5,0.45215,4,6
1810021771,5,5,0.52887,4,5
1808068440,5,5,0.40257,4,6
1905109044,7,4,6.8695,1,24
1703094867,12,12,6.85207,1,25
